species,class,order,maximum_lifespan_yr,mass_g,volancy,fossoriallity,foraging_environment,daily_activity
Dicrostonyx_groenlandicus,Mammalia,Rodentia,3.3,66,nonvolant,semifossorial,terrestrial,cathemeral
Didelphis_aurita,Mammalia,Didelphimorphia,4,850,nonvolant,nonfossorial,semiarboreal,nocturnal
Didelphis_marsupialis,Mammalia,Didelphimorphia,4.2,1530,nonvolant,nonfossorial,semiarboreal,nocturnal
Didelphis_virginiana,Mammalia,Didelphimorphia,6.6,3000,nonvolant,nonfossorial,semiarboreal,nocturnal
Dinomys_branickii,Mammalia,Rodentia,12.8,12250,nonvolant,semifossorial,terrestrial,nocturnal
Diphylla_ecaudata,Mammalia,Chiroptera,8,28,volant,nonfossorial,terrestrial,nocturnal
Dipodillus_campestris,Mammalia,Rodentia,7.3,28.4,nonvolant,semifossorial,terrestrial,nocturnal
Dipodomys_deserti,Mammalia,Rodentia,8.6,116,nonvolant,semifossorial,terrestrial,nocturnal
Dipodomys_heermanni,Mammalia,Rodentia,8.3,65,nonvolant,semifossorial,terrestrial,nocturnal
Dipodomys_merriami,Mammalia,Rodentia,9.7,42,nonvolant,semifossorial,terrestrial,nocturnal
Dipodomys_ordii,Mammalia,Rodentia,9.9,57,nonvolant,semifossorial,terrestrial,nocturnal
Dasyurus_viverrinus,Mammalia,Dasyuromorphia,6.8,1090,nonvolant,nonfossorial,terrestrial,nocturnal
Daubentonia_madagascariensis,Mammalia,Primates,23.3,2277.5,nonvolant,nonfossorial,arboreal,nocturnal
Dendrohyrax_arboreus,Mammalia,Hyracoidea,13.6,3000,nonvolant,nonfossorial,semiarboreal,nocturnal
Dendrolagus_goodfellowi,Mammalia,Diprotodontia,23.6,7400,nonvolant,nonfossorial,semiarboreal,cathemeral
Dendrolagus_matschiei,Mammalia,Diprotodontia,26.9,7200,nonvolant,nonfossorial,semiarboreal,cathemeral
Dendrolagus_ursinus,Mammalia,Diprotodontia,20,8000,nonvolant,nonfossorial,semiarboreal,cathemeral
Dendromus_melanotis,Mammalia,Rodentia,4.2,7.4,nonvolant,semifossorial,semiarboreal,nocturnal
Dendromus_mesomelas,Mammalia,Rodentia,3.3,13,nonvolant,semifossorial,semiarboreal,nocturnal
Desmodillus_auricularis,Mammalia,Rodentia,6.1,54.5,nonvolant,semifossorial,terrestrial,nocturnal
Desmodus_rotundus,Mammalia,Chiroptera,29.2,33.2,volant,nonfossorial,terrestrial,nocturnal
Diceros_bicornis,Mammalia,Perissodactyla,49,1100000,nonvolant,nonfossorial,terrestrial,crepuscular
Dobsonia_moluccensis,Mammalia,Chiroptera,12.3,430,volant,nonfossorial,volant,nocturnal
Dolichotis_patagonum,Mammalia,Rodentia,14.4,12500,nonvolant,semifossorial,terrestrial,diurnal
Dorcopsis_luctuosa,Mammalia,Diprotodontia,13.9,3570,nonvolant,nonfossorial,terrestrial,crepuscular
Dorcopsis_muelleri,Mammalia,Diprotodontia,12.4,5000,nonvolant,nonfossorial,terrestrial,crepuscular
Dorcopsulus_macleayi,Mammalia,Diprotodontia,7.9,2988,nonvolant,nonfossorial,terrestrial,nocturnal
Dryomys_nitedula,Mammalia,Rodentia,4.1,26,nonvolant,nonfossorial,arboreal,nocturnal
Echinops_telfairi,Mammalia,Afrosoricida,19,180,nonvolant,nonfossorial,semiarboreal,nocturnal
Echymipera_rufescens,Mammalia,Peramelemorphia,3.1,1250,nonvolant,nonfossorial,terrestrial,nocturnal
Eidolon_helvum,Mammalia,Chiroptera,21.8,306.25,volant,nonfossorial,volant,nocturnal
Elaphodus_cephalophus,Mammalia,Artiodactyla,22.7,33500,nonvolant,nonfossorial,terrestrial,crepuscular
Elephantulus_intufi,Mammalia,Macroscelidea,9.3,52,nonvolant,semifossorial,terrestrial,diurnal
Elephantulus_rozeti,Mammalia,Macroscelidea,7.2,48,nonvolant,semifossorial,terrestrial,diurnal
Elephantulus_rufescens,Mammalia,Macroscelidea,7.9,58,nonvolant,semifossorial,terrestrial,diurnal
Elephas_maximus,Mammalia,Proboscidea,65.5,3180000,nonvolant,nonfossorial,terrestrial,cathemeral
Eliomys_melanurus,Mammalia,Rodentia,6.2,122.5,nonvolant,nonfossorial,arboreal,nocturnal
Eliomys_quercinus,Mammalia,Rodentia,5.5,82.5,nonvolant,nonfossorial,arboreal,nocturnal
Enhydra_lutris,Mammalia,Carnivora,27,25850,nonvolant,nonfossorial,aquatic,diurnal
Epomophorus_gambianus,Mammalia,Chiroptera,7.8,80,volant,nonfossorial,volant,nocturnal
Eptesicus_fuscus,Mammalia,Chiroptera,19,23,volant,nonfossorial,volant,nocturnal
Eptesicus_nilssonii,Mammalia,Chiroptera,20,13,volant,nonfossorial,volant,nocturnal
Eptesicus_serotinus,Mammalia,Chiroptera,21,18.2,volant,nonfossorial,volant,nocturnal
Equus_asinus,Mammalia,Perissodactyla,47,164998,nonvolant,nonfossorial,terrestrial,diurnal
Equus_burchellii,Mammalia,Perissodactyla,38,280000,nonvolant,nonfossorial,terrestrial,diurnal
Equus_caballus,Mammalia,Perissodactyla,57,3.00E+05,nonvolant,nonfossorial,terrestrial,diurnal
Equus_grevyi,Mammalia,Perissodactyla,31,384000,nonvolant,nonfossorial,terrestrial,diurnal
Equus_hemionus,Mammalia,Perissodactyla,26.2,230000,nonvolant,nonfossorial,terrestrial,diurnal
Equus_kiang,Mammalia,Perissodactyla,30.1,275000,nonvolant,nonfossorial,terrestrial,diurnal
Equus_zebra,Mammalia,Perissodactyla,33.2,296000,nonvolant,nonfossorial,terrestrial,diurnal
Erethizon_dorsatum,Mammalia,Rodentia,23.4,8600,nonvolant,nonfossorial,semiarboreal,nocturnal
Erinaceus_europaeus,Mammalia,Erinaceomorpha,11.7,750,nonvolant,semifossorial,terrestrial,nocturnal
Erythrocebus_patas,Mammalia,Primates,28.3,7750,nonvolant,nonfossorial,terrestrial,diurnal
Eudorcas_thomsonii,Mammalia,Artiodactyla,20,25000,nonvolant,nonfossorial,terrestrial,diurnal
Eulemur_coronatus,Mammalia,Primates,27,2500,nonvolant,nonfossorial,semiarboreal,diurnal
Eulemur_fulvus,Mammalia,Primates,35.5,3150,nonvolant,nonfossorial,semiarboreal,diurnal
Eulemur_macaco,Mammalia,Primates,36.2,2500,nonvolant,nonfossorial,semiarboreal,diurnal
Eulemur_rubriventer,Mammalia,Primates,20,1765.3,nonvolant,nonfossorial,semiarboreal,diurnal
Euphractus_sexcinctus,Mammalia,Cingulata,22.1,4850,nonvolant,semifossorial,terrestrial,cathemeral
Felis_chaus,Mammalia,Carnivora,20,10000,nonvolant,nonfossorial,terrestrial,cathemeral
Felis_manul,Mammalia,Carnivora,15.9,3500,nonvolant,nonfossorial,terrestrial,cathemeral
Felis_margarita,Mammalia,Carnivora,13.9,2750,nonvolant,nonfossorial,terrestrial,nocturnal
Felis_nigripes,Mammalia,Carnivora,15.6,2125,nonvolant,nonfossorial,terrestrial,nocturnal
Felis_silvestris,Mammalia,Carnivora,19,5500,nonvolant,nonfossorial,terrestrial,nocturnal
Fossa_fossana,Mammalia,Carnivora,21.4,1540,nonvolant,nonfossorial,semiarboreal,nocturnal
Funisciurus_anerythrus,Mammalia,Rodentia,10,218,nonvolant,nonfossorial,semiarboreal,diurnal
Galago_demidoff,Mammalia,Primates,13.4,60,nonvolant,nonfossorial,arboreal,nocturnal
Galago_moholi,Mammalia,Primates,16.6,175,nonvolant,nonfossorial,arboreal,nocturnal
Galago_senegalensis,Mammalia,Primates,17.1,192.2,nonvolant,nonfossorial,arboreal,nocturnal
Galea_musteloides,Mammalia,Rodentia,3.5,337.9,nonvolant,semifossorial,terrestrial,diurnal
Galea_spixii,Mammalia,Rodentia,4.6,450,nonvolant,semifossorial,terrestrial,diurnal
Galerella_pulverulenta,Mammalia,Carnivora,11.7,650,nonvolant,nonfossorial,terrestrial,diurnal
Galerella_sanguinea,Mammalia,Carnivora,12.6,500,nonvolant,nonfossorial,terrestrial,diurnal
Galictis_cuja,Mammalia,Carnivora,10.2,1000,nonvolant,nonfossorial,terrestrial,cathemeral
Galictis_vittata,Mammalia,Carnivora,12.5,2300,nonvolant,nonfossorial,terrestrial,cathemeral
Galidia_elegans,Mammalia,Carnivora,26,800,nonvolant,nonfossorial,semiarboreal,diurnal
Gazella_dorcas,Mammalia,Artiodactyla,23.7,14500,nonvolant,nonfossorial,terrestrial,cathemeral
Gazella_gazella,Mammalia,Artiodactyla,18.3,23250,nonvolant,nonfossorial,terrestrial,diurnal
Gazella_leptoceros,Mammalia,Artiodactyla,14.6,48500,nonvolant,nonfossorial,terrestrial,crepuscular
Gazella_subgutturosa,Mammalia,Artiodactyla,16.3,48500,nonvolant,nonfossorial,terrestrial,cathemeral
Genetta_genetta,Mammalia,Carnivora,22.7,1866.7,nonvolant,nonfossorial,semiarboreal,nocturnal
Genetta_tigrina,Mammalia,Carnivora,21.3,1820,nonvolant,nonfossorial,semiarboreal,nocturnal
Geocapromys_brownii,Mammalia,Rodentia,13.5,1500,nonvolant,semifossorial,terrestrial,nocturnal
Geomys_bursarius,Mammalia,Rodentia,12,176.7,nonvolant,fossorial,terrestrial,cathemeral
Gerbilliscus_afra,Mammalia,Rodentia,5.7,74.8,nonvolant,semifossorial,terrestrial,nocturnal
Gerbilliscus_validus,Mammalia,Rodentia,5,113,nonvolant,semifossorial,terrestrial,nocturnal
Gerbillus_gerbillus,Mammalia,Rodentia,5.9,30,nonvolant,semifossorial,terrestrial,nocturnal
Gerbillus_perpallidus,Mammalia,Rodentia,5.5,50,nonvolant,semifossorial,terrestrial,nocturnal
Gerbillus_pyramidum,Mammalia,Rodentia,8.2,37,nonvolant,semifossorial,terrestrial,nocturnal
Giraffa_camelopardalis,Mammalia,Artiodactyla,39.5,8.00E+05,nonvolant,nonfossorial,terrestrial,crepuscular
Glis_glis,Mammalia,Rodentia,8.7,125,nonvolant,semifossorial,arboreal,nocturnal
Glossophaga_soricina,Mammalia,Chiroptera,11,10,volant,nonfossorial,volant,nocturnal
Gorilla_gorilla,Mammalia,Primates,55.4,139842,nonvolant,nonfossorial,terrestrial,diurnal
Gracilinanus_agilis,Mammalia,Didelphimorphia,6.1,22,nonvolant,nonfossorial,semiarboreal,nocturnal
Grammomys_dolichurus,Mammalia,Rodentia,4.4,60,nonvolant,nonfossorial,arboreal,nocturnal
Graphiurus_murinus,Mammalia,Rodentia,6.9,24,nonvolant,nonfossorial,semiarboreal,nocturnal
Graphiurus_platyops,Mammalia,Rodentia,7.3,46.1,nonvolant,nonfossorial,semiarboreal,nocturnal
Gulo_gulo,Mammalia,Carnivora,19.5,16333.3,nonvolant,nonfossorial,terrestrial,cathemeral
Abrocoma_bennettii,Mammalia,Rodentia,2.3,265.5,nonvolant,semifossorial,terrestrial,nocturnal
Acinonyx_jubatus,Mammalia,Carnivora,20.5,53500,nonvolant,nonfossorial,terrestrial,diurnal
Acomys_cahirinus,Mammalia,Rodentia,5.9,45.2,nonvolant,nonfossorial,terrestrial,nocturnal
Acomys_wilsoni,Mammalia,Rodentia,5.6,20,nonvolant,nonfossorial,terrestrial,nocturnal
Addax_nasomaculatus,Mammalia,Artiodactyla,28,92500,nonvolant,nonfossorial,terrestrial,nocturnal
Aepyceros_melampus,Mammalia,Artiodactyla,25.6,52500,nonvolant,nonfossorial,terrestrial,cathemeral
Ailuropoda_melanoleuca,Mammalia,Carnivora,36.8,117500,nonvolant,nonfossorial,terrestrial,nocturnal
Ailurus_fulgens,Mammalia,Carnivora,19,4325,nonvolant,nonfossorial,terrestrial,cathemeral
Alcelaphus_buselaphus,Mammalia,Artiodactyla,22.5,159000,nonvolant,nonfossorial,terrestrial,diurnal
Allactaga_elater,Mammalia,Rodentia,5.2,58.7,nonvolant,semifossorial,terrestrial,nocturnal
Allactaga_euphratica,Mammalia,Rodentia,4.2,232,nonvolant,semifossorial,terrestrial,nocturnal
Allactaga_sibirica,Mammalia,Rodentia,4.5,117.5,nonvolant,semifossorial,terrestrial,nocturnal
Alouatta_caraya,Mammalia,Primates,32.4,5462.5,nonvolant,nonfossorial,arboreal,diurnal
Alouatta_palliata,Mammalia,Primates,24,7000,nonvolant,nonfossorial,arboreal,diurnal
Alouatta_seniculus,Mammalia,Primates,25,6543.2,nonvolant,nonfossorial,arboreal,diurnal
Ammospermophilus_harrisii,Mammalia,Rodentia,10.6,126,nonvolant,semifossorial,terrestrial,diurnal
Ammospermophilus_leucurus,Mammalia,Rodentia,11.2,105,nonvolant,semifossorial,terrestrial,diurnal
Ammotragus_lervia,Mammalia,Artiodactyla,21.7,92500,nonvolant,nonfossorial,terrestrial,crepuscular
Anoura_geoffroyi,Mammalia,Chiroptera,10,15.2,volant,nonfossorial,volant,nocturnal
Antechinomys_laniger,Mammalia,Dasyuromorphia,3.5,24,nonvolant,nonfossorial,terrestrial,nocturnal
Antechinus_bellus,Mammalia,Dasyuromorphia,3.4,34,nonvolant,nonfossorial,arboreal,nocturnal
Antechinus_flavipes,Mammalia,Dasyuromorphia,3.9,45,nonvolant,nonfossorial,arboreal,nocturnal
Antechinus_stuartii,Mammalia,Dasyuromorphia,5.4,27.5,nonvolant,nonfossorial,arboreal,nocturnal
Antechinus_swainsonii,Mammalia,Dasyuromorphia,3.3,41,nonvolant,nonfossorial,terrestrial,diurnal
Antidorcas_marsupialis,Mammalia,Artiodactyla,19.8,39000,nonvolant,nonfossorial,terrestrial,cathemeral
Antilocapra_americana,Mammalia,Artiodactyla,15.5,46100,nonvolant,nonfossorial,terrestrial,cathemeral
Antilope_cervicapra,Mammalia,Artiodactyla,23.9,37500,nonvolant,nonfossorial,terrestrial,diurnal
Antrozous_pallidus,Mammalia,Chiroptera,14.8,20.8,volant,nonfossorial,volant,nocturnal
Aonyx_capensis,Mammalia,Carnivora,14.2,23500,nonvolant,nonfossorial,aquatic,nocturnal
Aonyx_cinerea,Mammalia,Carnivora,23,3000,nonvolant,nonfossorial,aquatic,nocturnal
Aotus_azarae,Mammalia,Primates,30,1230,nonvolant,nonfossorial,arboreal,nocturnal
Aotus_lemurinus,Mammalia,Primates,33.8,874,nonvolant,nonfossorial,arboreal,nocturnal
Aotus_trivirgatus,Mammalia,Primates,30.1,800,nonvolant,nonfossorial,arboreal,nocturnal
Aotus_vociferans,Mammalia,Primates,22.1,873,nonvolant,nonfossorial,arboreal,nocturnal
Apodemus_flavicollis,Mammalia,Rodentia,4.5,29.4,nonvolant,semifossorial,terrestrial,nocturnal
Apodemus_speciosus,Mammalia,Rodentia,5.3,44,nonvolant,semifossorial,terrestrial,nocturnal
Apodemus_sylvaticus,Mammalia,Rodentia,6.3,23.4,nonvolant,semifossorial,terrestrial,nocturnal
Arctictis_binturong,Mammalia,Carnivora,27,12250,nonvolant,nonfossorial,arboreal,nocturnal
Arctocebus_calabarensis,Mammalia,Primates,13,257.5,nonvolant,nonfossorial,arboreal,nocturnal
Arctogalidia_trivirgata,Mammalia,Carnivora,16.1,2250,nonvolant,nonfossorial,arboreal,nocturnal
Arctonyx_collaris,Mammalia,Carnivora,15.8,10500,nonvolant,semifossorial,terrestrial,nocturnal
Artibeus_jamaicensis,Mammalia,Chiroptera,19.2,42.2,volant,nonfossorial,volant,nocturnal
Arvicanthis_niloticus,Mammalia,Rodentia,6.7,110,nonvolant,nonfossorial,terrestrial,cathemeral
Atelerix_albiventris,Mammalia,Erinaceomorpha,11.4,500,nonvolant,semifossorial,terrestrial,nocturnal
Ateles_belzebuth,Mammalia,Primates,37,7535,nonvolant,nonfossorial,arboreal,diurnal
Ateles_chamek,Mammalia,Primates,42.8,6000,nonvolant,nonfossorial,arboreal,diurnal
Ateles_fusciceps,Mammalia,Primates,46,7000,nonvolant,nonfossorial,arboreal,diurnal
Ateles_geoffroyi,Mammalia,Primates,47.1,7267.5,nonvolant,nonfossorial,arboreal,diurnal
Ateles_paniscus,Mammalia,Primates,46,7887.5,nonvolant,nonfossorial,arboreal,diurnal
Atelocynus_microtis,Mammalia,Carnivora,11.9,9500,nonvolant,nonfossorial,terrestrial,nocturnal
Atherurus_africanus,Mammalia,Rodentia,22.9,2750,nonvolant,nonfossorial,terrestrial,nocturnal
Atilax_paludinosus,Mammalia,Carnivora,20.8,3300,nonvolant,nonfossorial,aquatic,nocturnal
Axis_axis,Mammalia,Artiodactyla,20.8,36000,nonvolant,nonfossorial,terrestrial,cathemeral
Axis_calamianensis,Mammalia,Artiodactyla,17.2,40500,nonvolant,nonfossorial,terrestrial,cathemeral
Axis_kuhlii,Mammalia,Artiodactyla,17.8,55000,nonvolant,nonfossorial,terrestrial,cathemeral
Axis_porcinus,Mammalia,Artiodactyla,22.9,43000,nonvolant,nonfossorial,terrestrial,cathemeral
Babyrousa_babyrussa,Mammalia,Artiodactyla,22.9,71500,nonvolant,semifossorial,terrestrial,diurnal
Baiomys_taylori,Mammalia,Rodentia,3.3,8,nonvolant,nonfossorial,terrestrial,crepuscular
Barbastella_barbastellus,Mammalia,Chiroptera,23,10.25,volant,nonfossorial,volant,nocturnal
Bassaricyon_alleni,Mammalia,Carnivora,25.2,1235,nonvolant,nonfossorial,arboreal,nocturnal
Bassariscus_astutus,Mammalia,Carnivora,19,1015,nonvolant,nonfossorial,arboreal,nocturnal
Bassariscus_sumichrasti,Mammalia,Carnivora,24,900,nonvolant,nonfossorial,arboreal,nocturnal
Bdeogale_nigripes,Mammalia,Carnivora,15.8,2000,nonvolant,nonfossorial,terrestrial,nocturnal
Bettongia_penicillata,Mammalia,Diprotodontia,18.8,1500,nonvolant,semifossorial,terrestrial,nocturnal
Bison_bison,Mammalia,Artiodactyla,33.5,630000,nonvolant,nonfossorial,terrestrial,diurnal
Bison_bonasus,Mammalia,Artiodactyla,26.4,610000,nonvolant,nonfossorial,terrestrial,diurnal
Blarina_brevicauda,Mammalia,Soricomorpha,2.2,21.6,nonvolant,semifossorial,terrestrial,cathemeral
Blarina_hylophaga,Mammalia,Soricomorpha,2.8,14.5,nonvolant,semifossorial,terrestrial,cathemeral
Bos_frontalis,Mammalia,Artiodactyla,26.2,825000,nonvolant,nonfossorial,terrestrial,cathemeral
Bos_grunniens,Mammalia,Artiodactyla,26.3,667000,nonvolant,nonfossorial,terrestrial,cathemeral
Bos_javanicus,Mammalia,Artiodactyla,27.1,7.00E+05,nonvolant,nonfossorial,terrestrial,cathemeral
Boselaphus_tragocamelus,Mammalia,Artiodactyla,21.7,180000,nonvolant,nonfossorial,terrestrial,diurnal
Bubalus_bubalis,Mammalia,Artiodactyla,34.9,725000,nonvolant,nonfossorial,terrestrial,diurnal
Bubalus_depressicornis,Mammalia,Artiodactyla,36.1,155000,nonvolant,nonfossorial,terrestrial,diurnal
Budorcas_taxicolor,Mammalia,Artiodactyla,21.9,180000,nonvolant,nonfossorial,terrestrial,crepuscular
Bunopithecus_hoolock,Mammalia,Primates,41,6875,nonvolant,nonfossorial,arboreal,diurnal
Burramys_parvus,Mammalia,Diprotodontia,12,45,nonvolant,semifossorial,semiarboreal,nocturnal
Cacajao_calvus,Mammalia,Primates,35.8,3165,nonvolant,nonfossorial,arboreal,diurnal
Callicebus_cupreus,Mammalia,Primates,26.4,1120,nonvolant,nonfossorial,arboreal,diurnal
Callicebus_donacophilus,Mammalia,Primates,25,795,nonvolant,nonfossorial,arboreal,diurnal
Callimico_goeldii,Mammalia,Primates,22.2,555,nonvolant,nonfossorial,semiarboreal,diurnal
Callithrix_argentata,Mammalia,Primates,16.5,343.2,nonvolant,nonfossorial,arboreal,diurnal
Callithrix_geoffroyi,Mammalia,Primates,17.6,342,nonvolant,nonfossorial,arboreal,diurnal
Callithrix_humeralifera,Mammalia,Primates,15,355.8,nonvolant,nonfossorial,arboreal,diurnal
Callithrix_jacchus,Mammalia,Primates,22.8,255.2,nonvolant,nonfossorial,arboreal,diurnal
Callithrix_kuhlii,Mammalia,Primates,20,342,nonvolant,nonfossorial,arboreal,diurnal
Callithrix_penicillata,Mammalia,Primates,15.4,307,nonvolant,nonfossorial,arboreal,diurnal
Callithrix_pygmaea,Mammalia,Primates,18.6,124,nonvolant,nonfossorial,arboreal,diurnal
Callosciurus_caniceps,Mammalia,Rodentia,13.7,257,nonvolant,nonfossorial,arboreal,diurnal
Callosciurus_prevostii,Mammalia,Rodentia,21.1,400,nonvolant,nonfossorial,arboreal,diurnal
Calomyscus_bailwardi,Mammalia,Rodentia,9.4,20.4,nonvolant,nonfossorial,terrestrial,cathemeral
Caluromys_derbianus,Mammalia,Didelphimorphia,8.7,330,nonvolant,nonfossorial,arboreal,nocturnal
Camelus_bactrianus,Mammalia,Artiodactyla,35.4,475000,nonvolant,nonfossorial,terrestrial,diurnal
Camelus_dromedarius,Mammalia,Artiodactyla,28.4,434000,nonvolant,nonfossorial,terrestrial,diurnal
Canis_adustus,Mammalia,Carnivora,13.7,10250,nonvolant,nonfossorial,terrestrial,nocturnal
Canis_aureus,Mammalia,Carnivora,18.8,11000,nonvolant,nonfossorial,terrestrial,nocturnal
Canis_latrans,Mammalia,Carnivora,21.8,13250,nonvolant,semifossorial,terrestrial,nocturnal
Canis_lupus,Mammalia,Carnivora,20.6,26625,nonvolant,semifossorial,terrestrial,nocturnal
Canis_mesomelas,Mammalia,Carnivora,16.7,10250,nonvolant,nonfossorial,terrestrial,cathemeral
Cannomys_badius,Mammalia,Rodentia,4.8,650,nonvolant,semifossorial,terrestrial,crepuscular
Capra_caucasica,Mammalia,Artiodactyla,19.3,70000,nonvolant,nonfossorial,terrestrial,cathemeral
Capra_falconeri,Mammalia,Artiodactyla,19.1,41000,nonvolant,nonfossorial,terrestrial,diurnal
Capra_hircus,Mammalia,Artiodactyla,20.8,61000,nonvolant,nonfossorial,terrestrial,cathemeral
Capra_ibex,Mammalia,Artiodactyla,20.9,82500,nonvolant,nonfossorial,terrestrial,diurnal
Capra_nubiana,Mammalia,Artiodactyla,22.4,46250,nonvolant,nonfossorial,terrestrial,diurnal
Capra_sibirica,Mammalia,Artiodactyla,22.3,130000,nonvolant,nonfossorial,terrestrial,diurnal
Capreolus_capreolus,Mammalia,Artiodactyla,17.5,21666.7,nonvolant,nonfossorial,terrestrial,crepuscular
Capricornis_crispus,Mammalia,Artiodactyla,24,80000,nonvolant,nonfossorial,terrestrial,crepuscular
Capricornis_sumatraensis,Mammalia,Artiodactyla,18.5,95000,nonvolant,nonfossorial,terrestrial,crepuscular
Capromys_pilorides,Mammalia,Rodentia,13.8,4683.3,nonvolant,nonfossorial,arboreal,diurnal
Caracal_caracal,Mammalia,Carnivora,20.3,16000,nonvolant,nonfossorial,terrestrial,nocturnal
Carollia_perspicillata,Mammalia,Chiroptera,17,15,volant,nonfossorial,volant,nocturnal
Castor_canadensis,Mammalia,Rodentia,23.4,20250,nonvolant,nonfossorial,terrestrial,nocturnal
Cavia_aperea,Mammalia,Rodentia,6,341,nonvolant,nonfossorial,terrestrial,crepuscular
Cavia_porcellus,Mammalia,Rodentia,12,728,nonvolant,semifossorial,terrestrial,crepuscular
Cavia_tschudii,Mammalia,Rodentia,6.3,637.5,nonvolant,semifossorial,terrestrial,crepuscular
Cebus_albifrons,Mammalia,Primates,40.4,2467.5,nonvolant,nonfossorial,arboreal,diurnal
Cebus_apella,Mammalia,Primates,46,2642.5,nonvolant,nonfossorial,arboreal,diurnal
Cebus_capucinus,Mammalia,Primates,54,2655,nonvolant,nonfossorial,arboreal,diurnal
Cebus_olivaceus,Mammalia,Primates,47,2552.5,nonvolant,nonfossorial,arboreal,diurnal
Cephalophus_dorsalis,Mammalia,Artiodactyla,17.5,11600,nonvolant,nonfossorial,terrestrial,nocturnal
Cephalophus_natalensis,Mammalia,Artiodactyla,15.2,10000,nonvolant,nonfossorial,terrestrial,nocturnal
Cephalophus_niger,Mammalia,Artiodactyla,14.8,18100,nonvolant,nonfossorial,terrestrial,nocturnal
Cephalophus_nigrifrons,Mammalia,Artiodactyla,17.9,13900,nonvolant,nonfossorial,terrestrial,nocturnal
Cephalophus_rufilatus,Mammalia,Artiodactyla,15.2,13000,nonvolant,nonfossorial,terrestrial,nocturnal
Cephalophus_silvicultor,Mammalia,Artiodactyla,22.5,62000,nonvolant,nonfossorial,terrestrial,nocturnal
Ceratotherium_simum,Mammalia,Perissodactyla,45,2180000,nonvolant,nonfossorial,terrestrial,crepuscular
Cercartetus_nanus,Mammalia,Diprotodontia,10.3,40,nonvolant,nonfossorial,arboreal,nocturnal
Cercopithecus_mitis,Mammalia,Primates,37.8,9000,nonvolant,nonfossorial,arboreal,diurnal
Cerdocyon_thous,Mammalia,Carnivora,12.7,6500,nonvolant,nonfossorial,terrestrial,nocturnal
Cervus_elaphus,Mammalia,Artiodactyla,31.5,2.00E+05,nonvolant,nonfossorial,terrestrial,diurnal
Cervus_nippon,Mammalia,Artiodactyla,26.3,42000,nonvolant,nonfossorial,terrestrial,cathemeral
Chaetodipus_fallax,Mammalia,Rodentia,8.3,18.7,nonvolant,semifossorial,terrestrial,nocturnal
Chaetodipus_formosus,Mammalia,Rodentia,7.1,19,nonvolant,semifossorial,terrestrial,nocturnal
Chaetophractus_vellerosus,Mammalia,Cingulata,16.2,840,nonvolant,semifossorial,terrestrial,cathemeral
Chaetophractus_villosus,Mammalia,Cingulata,25.2,3000,nonvolant,semifossorial,terrestrial,cathemeral
Cheirogaleus_medius,Mammalia,Primates,23.2,380,nonvolant,nonfossorial,arboreal,nocturnal
Chinchilla_lanigera,Mammalia,Rodentia,17.2,642.5,nonvolant,semifossorial,terrestrial,nocturnal
Chironectes_minimus,Mammalia,Didelphimorphia,3.1,700,nonvolant,semifossorial,terrestrial,nocturnal
Chiropodomys_gliroides,Mammalia,Rodentia,3.6,29,nonvolant,nonfossorial,arboreal,nocturnal
Chlorocebus_aethiops,Mammalia,Primates,30.8,5620,nonvolant,nonfossorial,semiarboreal,diurnal
Choloepus_didactylus,Mammalia,Pilosa,36.8,6250,nonvolant,nonfossorial,arboreal,nocturnal
Choloepus_hoffmanni,Mammalia,Pilosa,37,6250,nonvolant,nonfossorial,arboreal,nocturnal
Chrysocyon_brachyurus,Mammalia,Carnivora,16.8,21500,nonvolant,nonfossorial,terrestrial,nocturnal
Civettictis_civetta,Mammalia,Carnivora,28,13666.7,nonvolant,nonfossorial,terrestrial,nocturnal
Coendou_prehensilis,Mammalia,Rodentia,26.6,3900,nonvolant,nonfossorial,arboreal,nocturnal
Colobus_angolensis,Mammalia,Primates,35.3,8625,nonvolant,nonfossorial,arboreal,diurnal
Colobus_guereza,Mammalia,Primates,35,9950,nonvolant,nonfossorial,arboreal,diurnal
Colobus_polykomos,Mammalia,Primates,33.9,9525,nonvolant,nonfossorial,arboreal,diurnal
Condylura_cristata,Mammalia,Soricomorpha,2.5,55.3,nonvolant,fossorial,terrestrial,cathemeral
Conepatus_chinga,Mammalia,Carnivora,10,3400,nonvolant,nonfossorial,terrestrial,nocturnal
Conilurus_penicillatus,Mammalia,Rodentia,4.5,144,nonvolant,nonfossorial,semiarboreal,nocturnal
Connochaetes_gnou,Mammalia,Artiodactyla,21.8,132250,nonvolant,nonfossorial,terrestrial,diurnal
Connochaetes_taurinus,Mammalia,Artiodactyla,24.3,164500,nonvolant,nonfossorial,terrestrial,diurnal
Corynorhinus_townsendii,Mammalia,Chiroptera,20.5,14.25,volant,nonfossorial,volant,nocturnal
Cricetomys_gambianus,Mammalia,Rodentia,8.4,1500,nonvolant,semifossorial,terrestrial,nocturnal
Cricetus_cricetus,Mammalia,Rodentia,3.6,506.7,nonvolant,semifossorial,terrestrial,crepuscular
Crocidura_flavescens,Mammalia,Soricomorpha,2.2,45,nonvolant,semifossorial,terrestrial,cathemeral
Crocidura_leucodon,Mammalia,Soricomorpha,2.9,11,nonvolant,semifossorial,terrestrial,cathemeral
